SNR_dB,Frames,Bit_Errors,BER,FER
0.0,50,7630,0.1526,1.0
0.5,50,6596,0.13192,1.0
1.0,52,5449,0.10478846153846154,0.9615384615384616
0.0,50,7599,0.15198,1.0
0.5,50,6560,0.1312,1.0
1.0,50,5398,0.10796,1.0
1.5,77,4459,0.05790909090909091,0.6493506493506493
2.0,334,3993,0.01195508982035928,0.1497005988023952
0.0,50,7480,0.1496,1.0
0.5,50,6295,0.1259,1.0
1.0,52,5300,0.10192307692307692,0.9615384615384616
1.5,83,4478,0.05395180722891566,0.6024096385542169
2.0,280,3127,0.011167857142857143,0.17857142857142858
2.5,1181,720,0.0006096528365791702,0.04233700254022015
